City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Upernavik,GL,2022-04-07 03:02:41,72.7868,-56.1549,250.46,100,96,2.99
262,Port Blair,IN,2022-04-07 03:01:09,11.6667,92.75,299.17,89,100,1.54
263,Tateyama,JP,2022-04-07 03:02:42,34.9833,139.8667,288.42,73,100,1.19
264,Natal,BR,2022-04-07 03:00:46,-5.795,-35.2094,297.51,100,20,2.06
265,San Cristobal,VE,2022-04-07 03:02:42,7.7669,-72.225,292.56,96,32,1.16
266,Velyka Oleksandrivka,UA,2022-04-07 03:02:43,47.3197,33.3037,278.34,86,75,4.08
267,Ciudad Bolivar,VE,2022-04-07 03:02:43,8.1222,-63.5497,301.5,37,5,5.95
268,Olafsvik,IS,2022-04-07 03:02:44,64.8945,-23.7142,270.07,61,13,5.43
269,Wajir,KE,2022-04-07 03:02:44,1.7471,40.0573,298.11,72,11,5.35
270,Ixtapa,MX,2022-04-07 03:00:15,20.7,-105.2,296.05,86,100,0.89
271,Ararat,AM,2022-04-07 03:02:45,39.8317,44.7049,283.34,82,100,2.97
272,Montepuez,MZ,2022-04-07 03:02:45,-13.1256,38.9997,292.95,98,25,1.08
273,Richards Bay,ZA,2022-04-07 03:02:46,-28.783,32.0377,295.24,82,83,7.93
274,Namatanai,PG,2022-04-07 03:02:46,-3.6667,152.4333,299.83,79,100,4.23
275,Poum,NC,2022-04-07 03:03:47,-20.2333,164.0167,300.49,82,100,10.43
276,Fuerte Olimpo,PY,2022-04-07 03:03:47,-21.0415,-57.8738,299.2,64,98,2.38
277,Vanavara,RU,2022-04-07 03:03:48,60.34,102.2797,273.6,100,100,2.37
278,Dinguiraye,GN,2022-04-07 03:03:48,11.3,-10.7167,302.11,46,100,2.77
279,Bushehr,IR,2022-04-07 03:01:51,28.9684,50.8385,296.44,51,7,2.53
280,Dubbo,AU,2022-04-07 03:03:49,-32.25,148.6167,291.22,94,100,2.57
281,Tura,IN,2022-04-07 03:03:49,25.5198,90.2201,299.24,68,60,1.42
282,Lompoc,US,2022-04-07 03:03:50,34.6391,-120.4579,297.6,46,0,0.0
283,Eyl,SO,2022-04-07 03:03:50,7.9803,49.8164,297.96,78,5,3.96
284,Fallon,US,2022-04-07 03:03:51,39.4735,-118.7774,287.29,18,20,2.57
285,Mareeba,AU,2022-04-07 03:03:51,-17.0,145.4333,302.86,63,43,1.97
286,Vanimo,PG,2022-04-07 03:03:52,-2.6741,141.3028,302.65,69,98,2.7
287,Svetlyy,RU,2022-04-07 03:03:52,54.675,20.1347,281.18,89,100,7.51
288,Havelock,US,2022-04-07 03:02:30,34.8791,-76.9013,293.69,95,38,0.89
289,Saurimo,AO,2022-04-07 03:03:53,-9.6608,20.3916,290.45,94,31,0.68
290,Manono,CD,2022-04-07 03:02:16,-7.3,27.4167,292.05,96,100,1.63
291,Barrow,US,2022-04-07 03:03:54,71.2906,-156.7887,252.16,77,100,4.63
292,Padang,ID,2022-04-07 03:03:54,-0.9492,100.3543,299.79,79,100,0.24
