City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Yaounde,CM,3.8667,11.5167,80.132,78,75,2.57,light rain
277,Umm Kaddadah,SD,13.6017,26.6876,101.93,6,2,2.19,clear sky
278,Plettenberg Bay,ZA,-34.0527,23.3716,70.79,74,29,5.66,scattered clouds
279,Ballina,AU,-28.8667,153.5667,66.164,96,15,0,few clouds
280,Pacific Grove,US,36.6177,-121.9166,51.476,82,73,2.68,broken clouds
281,Marovoay,MG,-16.1,46.6333,82.238,68,91,2.22,overcast clouds
282,Nishihara,JP,26.1842,127.7558,73.058,97,75,5.66,broken clouds
283,Olafsvik,IS,64.8945,-23.7142,35.042,75,13,9.94,few clouds
284,La Ronge,CA,55.1001,-105.2842,12.452,79,100,6.69,overcast clouds
285,Wilmington,US,34.2257,-77.9447,73.004,46,0,3.6,clear sky
286,Aktau,KZ,43.65,51.2,59.576,61,72,4.28,broken clouds
287,Visnes,NO,59.3556,5.2242,45.824,57,20,7.72,few clouds
288,Beloha,MG,-25.1667,45.05,73.886,80,71,8.5,broken clouds
289,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,79.628,83,100,0.4,overcast clouds
290,Opopeo,MX,19.4,-101.6,52.664,44,75,1.48,broken clouds
291,Santa Clara,CU,22.4,-79.9667,76.658,61,40,6.17,light rain
292,Blagoveshchenka,RU,52.8333,79.8667,39.02,54,43,4.66,scattered clouds
293,Buin,CL,-33.7333,-70.75,65.048,38,0,0.88,clear sky
294,Troitskoye,RU,52.9821,84.6757,31.334,82,67,3.17,broken clouds
295,Vayalar,IN,9.7,76.3333,81.95,80,100,2.53,heavy intensity rain
296,Tilichiki,RU,60.4667,166.1,7.448,92,100,4.94,overcast clouds
297,Viking,CA,53.1001,-111.7684,19.256,61,100,8.03,overcast clouds
298,Saint George,US,37.1041,-113.5841,43.394,21,0,0,clear sky
299,Sindor,RU,62.8629,51.8905,38.03,100,100,3.5,overcast clouds
300,Hofn,IS,64.2539,-15.2082,37.418,65,100,5.66,light rain
301,Rio Grande,BR,-32.035,-52.0986,71.708,73,100,6.51,overcast clouds
302,Kovur,IN,14.4833,79.9833,81.158,83,30,3.02,scattered clouds
303,Pitea,SE,65.3172,21.4794,41.09,100,83,2.64,broken clouds
304,Margate,GB,51.3813,1.3862,58.874,62,100,2.24,overcast clouds
305,Soto La Marina,MX,23.7667,-98.2167,80.78,54,0,3.57,clear sky
306,Asfi,MA,32.2994,-9.2372,63.824,82,100,8.63,overcast clouds
307,Dmytrivka,UA,45.9717,28.9864,52.358,39,97,9.69,overcast clouds
308,Taos,US,36.4072,-105.5731,48.542,41,6,1.34,clear sky
309,Kalaleh,IR,37.3807,55.4916,79.16,47,0,2.06,clear sky
310,Port Hardy,CA,50.6996,-127.4199,41,69,20,4.12,few clouds
311,Roura,GF,4.7263,-52.3274,85.91,74,75,6.69,broken clouds
312,Mukhtolovo,RU,55.4644,43.1953,58.946,69,99,4.13,overcast clouds
313,Roebourne,AU,-20.7833,117.1333,84.974,28,3,5.32,clear sky
314,Kavieng,PG,-2.5744,150.7967,82.094,76,8,5.53,clear sky
315,Manokwari,ID,-0.8667,134.0833,78.872,82,100,4.9,overcast clouds
316,Caborca,MX,30.5838,-111.101,65.948,48,0,7.49,clear sky
317,Souillac,MU,-20.5167,57.5167,77.378,88,75,5.14,light rain
318,Pergamino,AR,-33.89,-60.5736,68.18,77,98,5.67,overcast clouds
319,Arman,RU,59.7,150.1667,-2.992,83,7,4.09,clear sky
320,Letlhakane,BW,-21.4167,25.5833,82.112,36,13,2.86,few clouds
